"","Location","Denomination","Month","Weekday","Type","Theme","Age","Promotion","Coupons","Weather","Coin.in"
"393","1st Floor - Middle","Fifty Dollar","May","Monday","4 Reel","Other",8,"Daily Special","None","frosty",962
"394","1st Floor - Middle","Fifty Dollar","Jul","Monday","Bonus Video","Classic Symbols",17,"None","None","clear",825
"395","1st Floor - Middle","Fifty Dollar","Jul","Wednesday","5 Reel","Casinos",5,"VIP","None","balmy",1016
"397","1st Floor - Middle","Fifty Dollar","Oct","Tuesday","4 Reel","Fairy Tale",16,"Daily Special","None","snow",1357
"398","1st Floor - Middle","Fifty Dollar","Nov","Tuesday","Progressive","History",20,"None","None","balmy",1107
"400","1st Floor - Middle","Fifty Dollar","Dec","Sunday","Progressive","Magic",20,"Monthy Player","None","sultry",1125
"401","1st Floor - Middle","Hundred Dollar","Mar","Monday","Bonus Video","Adventure",5,"Monthy Player","None","humid",834
"402","1st Floor - Middle","Hundred Dollar","Apr","Monday","4 Reel","Regional",11,"Monthy Player","None","cloudy",547
"403","1st Floor - Middle","Hundred Dollar","Apr","Tuesday","5 Reel","Regional",2,"New Player","None","windy",1009
"404","1st Floor - Middle","Hundred Dollar","Apr","Sunday","Progressive","Riches",17,"VIP","None","crummy",141
"405","1st Floor - Middle","Hundred Dollar","Jun","Sunday","4 Reel","Regional",20,"None","None","revolting",642
"407","1st Floor - Middle","Hundred Dollar","Sep","Sunday","4 Reel","Travel",14,"None","None","close",136
"410","1st Floor - Middle","Hundred Dollar","Dec","Monday","Progressive","Holidays",12,"VIP","None","stormy",626
"413","1st Floor - Back","Penny","Jan","Thursday","Progressive","Entertainment",5,"New Player","None","wet",1401
"414","1st Floor - Back","Penny","Jan","Thursday","Progressive","Fairy Tale",12,"VIP","None","blusterous",1390
"415","1st Floor - Back","Penny","Feb","Tuesday","Progressive","Adventure",13,"VIP","None","damp",1011
"416","1st Floor - Back","Penny","Feb","Thursday","4 Reel","Casinos",20,"None","None","windy",560
"417","1st Floor - Back","Penny","Feb","Friday","4 Reel","Regional",10,"New Player","None","hot",1184
"418","1st Floor - Back","Penny","Feb","Sunday","4 Reel","Holidays",18,"New Player","None","good",1263
"420","1st Floor - Back","Penny","Mar","Friday","Progressive","Movies",15,"VIP","None","humid",719
"421","1st Floor - Back","Penny","Apr","Sunday","4 Reel","Classic Symbols",17,"Monthy Player","None","arid",1159
"422","1st Floor - Back","Penny","May","Wednesday","Bonus Video","Magic",10,"None","None","raw",774
"423","1st Floor - Back","Penny","Jun","Thursday","4 Reel","Retro",3,"None","None","cloudy",610
"425","1st Floor - Back","Penny","Jul","Sunday","5 Reel","Retro",13,"New Player","None","cloudy",735
"426","1st Floor - Back","Penny","Sep","Friday","Bonus Video","Adventure",10,"None","None","cloudy",1089
"427","1st Floor - Back","Penny","Oct","Monday","5 Reel","Movies",5,"New Player","None","humid",877
"428","1st Floor - Back","Penny","Nov","Thursday","Progressive","Fruit",18,"Daily Special","None","arid",436
"429","1st Floor - Back","Penny","Dec","Monday","Progressive","Other",11,"VIP","None","cloudy",561
"430","1st Floor - Back","Penny","Dec","Friday","Bonus Video","Horror",16,"New Player","None","steamy",880
"435","1st Floor - Back","Two Cent","Feb","Sunday","Progressive","Magic",8,"None","None","balmy",1206
"436","1st Floor - Back","Two Cent","Mar","Monday","4 Reel","Entertainment",13,"VIP","None","calm",917
"437","1st Floor - Back","Two Cent","Mar","Friday","4 Reel","Travel",6,"Monthy Player","None","tempestuous",1000
"438","1st Floor - Back","Two Cent","Mar","Friday","4 Reel","Travel",18,"Daily Special","None","calm",981
"439","1st Floor - Back","Two Cent","Apr","Sunday","Bonus Video","Casinos",11,"New Player","None","sunny",1143
"442","1st Floor - Back","Two Cent","Aug","Friday","4 Reel","Holidays",5,"Monthy Player","None","stormy",1100
"443","1st Floor - Back","Two Cent","Sep","Thursday","5 Reel","Riches",19,"Daily Special","None","humid",532
"444","1st Floor - Back","Two Cent","Sep","Sunday","4 Reel","Other",13,"VIP","None","revolting",572
"448","1st Floor - Back","Nickel","Jan","Tuesday","5 Reel","Magic",17,"New Player","None","crummy",407
"449","1st Floor - Back","Nickel","Jan","Sunday","Progressive","Magic",10,"VIP","None","misty",1471
"450","1st Floor - Back","Nickel","Feb","Wednesday","Bonus Video","Holidays",18,"VIP","None","sultry",914
"451","1st Floor - Back","Nickel","Mar","Monday","Progressive","Movies",1,"VIP","None","misty",839
"453","1st Floor - Back","Nickel","Apr","Wednesday","4 Reel","Movies",8,"Monthy Player","None","bad",1460
"459","1st Floor - Back","Nickel","Aug","Thursday","4 Reel","Classic Symbols",7,"New Player","None","wet",523
"460","1st Floor - Back","Nickel","Sep","Tuesday","4 Reel","Travel",7,"Monthy Player","None","cold",15
"461","1st Floor - Back","Nickel","Sep","Thursday","4 Reel","American",18,"Daily Special","None","balmy",1253
"462","1st Floor - Back","Nickel","Sep","Sunday","5 Reel","Magic",20,"VIP","None","sunny",1248
"463","1st Floor - Back","Nickel","Oct","Monday","5 Reel","Movies",6,"VIP","None","arid",939
"464","1st Floor - Back","Nickel","Oct","Tuesday","5 Reel","Casinos",10,"Monthy Player","None","drizzly",1076
"466","1st Floor - Back","Nickel","Oct","Thursday","Progressive","Classic Symbols",12,"Monthy Player","None","tempestuous",277
"468","1st Floor - Back","Nickel","Dec","Friday","5 Reel","Riches",14,"Daily Special","None","bad",683
"469","1st Floor - Back","Dime","Jan","Sunday","5 Reel","Riches",1,"None","None","cloudy",271
"470","1st Floor - Back","Dime","Feb","Friday","5 Reel","Love",8,"Monthy Player","None","wet",238
"471","1st Floor - Back","Dime","Feb","Sunday","Progressive","Travel",8,"VIP","None","dark",203
"472","1st Floor - Back","Dime","Feb","Sunday","Bonus Video","Horror",15,"Daily Special","None","mild",1003
"473","1st Floor - Back","Dime","Mar","Thursday","Progressive","Movies",8,"VIP","None","steamy",384
"475","1st Floor - Back","Dime","Mar","Sunday","Progressive","Horror",18,"New Player","None","stormy",214
"479","1st Floor - Back","Dime","Jun","Monday","4 Reel","Love",9,"VIP","None","humid",502
"480","1st Floor - Back","Dime","Jul","Wednesday","Progressive","Movies",17,"Monthy Player","None","close",524
"481","1st Floor - Back","Dime","Jul","Friday","4 Reel","Travel",19,"New Player","None","showery",1292
"483","1st Floor - Back","Dime","Aug","Wednesday","Bonus Video","Animals",13,"New Player","None","wet",1224
"485","1st Floor - Back","Dime","Sep","Thursday","Progressive","Travel",1,"New Player","None","blusterous",712
"488","1st Floor - Back","Dime","Nov","Sunday","Progressive","Magic",14,"New Player","None","dead",877
"489","1st Floor - Back","Dime","Dec","Tuesday","Bonus Video","Magic",14,"None","None","revolting",128
"490","1st Floor - Back","Dime","Dec","Wednesday","4 Reel","Travel",2,"None","None","cold",1071
"492","1st Floor - Back","Quarter","Feb","Wednesday","Bonus Video","Retro",10,"Monthy Player","None","drizzly",99
"493","1st Floor - Back","Quarter","Feb","Friday","Bonus Video","Horror",1,"VIP","None","clear",1238
"494","1st Floor - Back","Quarter","Apr","Tuesday","5 Reel","Other",15,"None","None","frosty",478
"496","1st Floor - Back","Quarter","Apr","Sunday","Bonus Video","Adventure",18,"VIP","None","blusterous",355
"498","1st Floor - Back","Quarter","Jun","Monday","Progressive","Travel",3,"Daily Special","None","stormy",431
"499","1st Floor - Back","Quarter","Jun","Wednesday","4 Reel","Adventure",8,"Daily Special","None","drizzly",1304
"500","1st Floor - Back","Quarter","Aug","Tuesday","Progressive","Travel",8,"Monthy Player","None","tempestuous",565
"501","1st Floor - Back","Quarter","Aug","Thursday","5 Reel","Retro",8,"Monthy Player","None","mild",443
"503","1st Floor - Back","Quarter","Oct","Tuesday","5 Reel","Fairy Tale",18,"Monthy Player","None","revolting",705
"505","1st Floor - Back","Quarter","Nov","Friday","Bonus Video","Regional",9,"Daily Special","None","hot",804
"506","1st Floor - Back","Quarter","Dec","Thursday","Bonus Video","Retro",1,"Monthy Player","None","mild",1068
"508","1st Floor - Back","Half Dollar","Jan","Wednesday","Bonus Video","Retro",17,"New Player","None","calm",39
"509","1st Floor - Back","Half Dollar","Feb","Friday","4 Reel","History",19,"VIP","None","stormy",449
"510","1st Floor - Back","Half Dollar","Mar","Wednesday","Bonus Video","Retro",4,"Monthy Player","None","sultry",702
"511","1st Floor - Back","Half Dollar","Apr","Thursday","4 Reel","Holidays",17,"New Player","None","humid",1449
"514","1st Floor - Back","Half Dollar","May","Monday","5 Reel","Love",5,"VIP","None","dead",184
"515","1st Floor - Back","Half Dollar","May","Sunday","4 Reel","Entertainment",17,"Monthy Player","None","cloudy",368
"516","1st Floor - Back","Half Dollar","Jun","Sunday","4 Reel","American",8,"VIP","None","hot",1452
"518","1st Floor - Back","Half Dollar","Jul","Wednesday","4 Reel","Fruit",17,"Daily Special","None","blusterous",898
"519","1st Floor - Back","Half Dollar","Jul","Friday","5 Reel","Other",8,"Daily Special","None","calm",1456
"520","1st Floor - Back","Half Dollar","Aug","Tuesday","4 Reel","Food",20,"Monthy Player","None","damp",939
"527","1st Floor - Back","Half Dollar","Dec","Monday","Progressive","Riches",13,"VIP","None","drizzly",525
"528","1st Floor - Back","Half Dollar","Dec","Wednesday","Bonus Video","Other",7,"None","None","drizzly",969
"529","1st Floor - Back","Dollar","Mar","Friday","Progressive","Riches",12,"New Player","None","muggy",306
"530","1st Floor - Back","Dollar","Apr","Monday","Bonus Video","Adventure",17,"Monthy Player","None","showery",890
"532","1st Floor - Back","Dollar","Apr","Wednesday","Progressive","Fruit",20,"Monthy Player","None","sultry",131
"533","1st Floor - Back","Dollar","Apr","Thursday","Progressive","Animals",20,"None","None","wet",1036
"534","1st Floor - Back","Dollar","Jun","Monday","5 Reel","Classic Symbols",11,"New Player","None","warm",713
"535","1st Floor - Back","Dollar","Jul","Monday","Progressive","Other",6,"None","None","sunny",981
"536","1st Floor - Back","Dollar","Jul","Wednesday","Bonus Video","Love",20,"Daily Special","None","revolting",8
"538","1st Floor - Back","Dollar","Jul","Sunday","Bonus Video","Magic",13,"Daily Special","None","tempestuous",193
"540","1st Floor - Back","Dollar","Aug","Thursday","5 Reel","Travel",11,"VIP","None","clear",809
"542","1st Floor - Back","Dollar","Oct","Friday","5 Reel","Movies",6,"Monthy Player","None","frosty",668
"546","1st Floor - Back","Dollar","Nov","Sunday","Bonus Video","Horror",19,"New Player","None","cold",360
"547","1st Floor - Back","Dollar","Dec","Monday","4 Reel","Fruit",12,"Daily Special","None","sultry",1466
"550","1st Floor - Back","Two Dollar","Feb","Friday","4 Reel","Classic Symbols",7,"New Player","None","cold",1061
"552","1st Floor - Back","Two Dollar","Apr","Monday","Bonus Video","Horror",19,"New Player","None","good",1038
"553","1st Floor - Back","Two Dollar","Apr","Wednesday","4 Reel","Other",8,"New Player","None","crummy",1169
"555","1st Floor - Back","Two Dollar","Jun","Friday","4 Reel","Movies",11,"VIP","None","crummy",1406
"556","1st Floor - Back","Two Dollar","Oct","Sunday","Bonus Video","Animals",1,"VIP","None","crummy",1140
"559","1st Floor - Back","Two Dollar","Nov","Friday","Progressive","Travel",13,"Monthy Player","None","balmy",337
"560","1st Floor - Back","Two Dollar","Dec","Thursday","Bonus Video","Entertainment",19,"None","None","close",911
"561","1st Floor - Back","Two Dollar","Dec","Sunday","Bonus Video","Holidays",9,"Monthy Player","None","drizzly",1032
"562","1st Floor - Back","Five Dollar","Jan","Monday","4 Reel","Other",7,"None","None","stormy",93
"563","1st Floor - Back","Five Dollar","Jan","Friday","4 Reel","Fruit",11,"Monthy Player","None","arid",813
"566","1st Floor - Back","Five Dollar","Apr","Thursday","Bonus Video","American",15,"Daily Special","None","calm",30
"568","1st Floor - Back","Five Dollar","Apr","Friday","Bonus Video","Other",14,"Monthy Player","None","arid",903
"569","1st Floor - Back","Five Dollar","May","Monday","Progressive","Casinos",2,"Monthy Player","None","showery",1211
"573","1st Floor - Back","Five Dollar","Jun","Friday","4 Reel","Animals",2,"None","None","arid",979
"574","1st Floor - Back","Five Dollar","Jul","Wednesday","4 Reel","Adventure",12,"None","None","mild",1425
"575","1st Floor - Back","Five Dollar","Jul","Sunday","5 Reel","Retro",14,"Monthy Player","None","clear",1175
"576","1st Floor - Back","Five Dollar","Sep","Tuesday","4 Reel","Horror",9,"VIP","None","close",290
"578","1st Floor - Back","Five Dollar","Oct","Thursday","Bonus Video","Movies",4,"Monthy Player","None","close",1466
"579","1st Floor - Back","Five Dollar","Oct","Friday","5 Reel","Holidays",17,"New Player","None","crummy",36
"580","1st Floor - Back","Five Dollar","Oct","Sunday","5 Reel","Entertainment",18,"None","None","revolting",135
"581","1st Floor - Back","Five Dollar","Nov","Tuesday","Progressive","Adventure",11,"None","None","crummy",35
"583","1st Floor - Back","Ten Dollar","Jan","Tuesday","5 Reel","Animals",16,"Monthy Player","None","icy",261
"584","1st Floor - Back","Ten Dollar","Jan","Tuesday","Progressive","Holidays",11,"Daily Special","None","warm",502
"586","1st Floor - Back","Ten Dollar","Feb","Sunday","Progressive","Regional",13,"VIP","None","raw",1303
"587","1st Floor - Back","Ten Dollar","Mar","Thursday","Bonus Video","Love",8,"Monthy Player","None","windy",863
"589","1st Floor - Back","Ten Dollar","Apr","Friday","Bonus Video","Riches",1,"New Player","None","misty",280
"591","1st Floor - Back","Ten Dollar","Jul","Wednesday","Bonus Video","Classic Symbols",7,"New Player","None","rainy",267
"593","1st Floor - Back","Ten Dollar","Aug","Tuesday","5 Reel","Movies",5,"Daily Special","None","damp",541
"596","1st Floor - Back","Ten Dollar","Aug","Sunday","Progressive","Holidays",1,"VIP","None","good",1332
"598","1st Floor - Back","Ten Dollar","Oct","Tuesday","Bonus Video","Retro",19,"None","None","hot",1162
"600","1st Floor - Back","Ten Dollar","Dec","Monday","Progressive","Food",11,"New Player","None","stormy",1016
"601","1st Floor - Back","Ten Dollar","Dec","Sunday","Progressive","History",6,"Monthy Player","None","balmy",1215
"602","1st Floor - Back","Twenty Five Dollar","Feb","Thursday","Progressive","Retro",16,"Daily Special","None","clear",659
"604","1st Floor - Back","Twenty Five Dollar","Jul","Wednesday","5 Reel","Regional",16,"VIP","None","dead",1214
"605","1st Floor - Back","Twenty Five Dollar","Jul","Wednesday","Bonus Video","Movies",18,"New Player","None","blusterous",115
"606","1st Floor - Back","Twenty Five Dollar","Aug","Sunday","Bonus Video","Regional",7,"New Player","None","blusterous",1391
"607","1st Floor - Back","Twenty Five Dollar","Dec","Friday","Progressive","Other",11,"None","None","humid",605
"610","1st Floor - Back","Fifty Dollar","Feb","Wednesday","Bonus Video","Fairy Tale",15,"Daily Special","None","close",58
"612","1st Floor - Back","Fifty Dollar","Feb","Friday","4 Reel","Entertainment",17,"Monthy Player","None","clear",1276
"615","1st Floor - Back","Fifty Dollar","Mar","Tuesday","5 Reel","Magic",13,"VIP","None","hot",1074
"617","1st Floor - Back","Fifty Dollar","May","Monday","5 Reel","Holidays",19,"Daily Special","None","misty",976
"618","1st Floor - Back","Fifty Dollar","May","Tuesday","4 Reel","Food",17,"Monthy Player","None","scorching",428
"620","1st Floor - Back","Fifty Dollar","Jul","Wednesday","4 Reel","Classic Symbols",5,"None","None","frosty",745
"624","1st Floor - Back","Fifty Dollar","Oct","Sunday","5 Reel","Food",5,"New Player","None","arid",464
"626","1st Floor - Back","Hundred Dollar","Jan","Monday","4 Reel","Food",9,"Daily Special","None","tempestuous",1463
"628","1st Floor - Back","Hundred Dollar","Feb","Tuesday","4 Reel","History",7,"VIP","None","revolting",545
"629","1st Floor - Back","Hundred Dollar","Feb","Tuesday","5 Reel","Fairy Tale",17,"Daily Special","None","calm",853
"630","1st Floor - Back","Hundred Dollar","Mar","Monday","4 Reel","Other",12,"None","None","arid",1151
"631","1st Floor - Back","Hundred Dollar","Mar","Friday","5 Reel","Fairy Tale",4,"None","None","cold",1200
"632","1st Floor - Back","Hundred Dollar","Apr","Monday","Bonus Video","Other",15,"None","None","humid",1432
"633","1st Floor - Back","Hundred Dollar","May","Monday","Progressive","Food",14,"None","None","snow",506
"634","1st Floor - Back","Hundred Dollar","May","Thursday","Progressive","Adventure",9,"New Player","None","humid",670
"635","1st Floor - Back","Hundred Dollar","May","Sunday","Bonus Video","Adventure",20,"Daily Special","None","blusterous",1093
"636","1st Floor - Back","Hundred Dollar","Aug","Monday","4 Reel","Movies",3,"New Player","None","calm",1061
"638","1st Floor - Back","Hundred Dollar","Aug","Tuesday","Progressive","Fruit",14,"Daily Special","None","balmy",1321
"639","1st Floor - Back","Hundred Dollar","Sep","Monday","4 Reel","Magic",17,"VIP","None","snow",652
"641","1st Floor - Back","Hundred Dollar","Oct","Sunday","5 Reel","Fairy Tale",11,"Monthy Player","None","dead",275
"642","1st Floor - Back","Hundred Dollar","Nov","Monday","4 Reel","Casinos",2,"New Player","None","calm",723
"643","1st Floor - Back","Hundred Dollar","Nov","Sunday","Bonus Video","Entertainment",15,"None","None","frosty",67
"644","1st Floor - Back","Hundred Dollar","Dec","Sunday","Progressive","Animals",11,"None","None","good",611
"646","2nd Floor - Front","Penny","Mar","Monday","4 Reel","Retro",1,"Daily Special","None","bad",125
"647","2nd Floor - Front","Penny","Mar","Tuesday","Progressive","Adventure",4,"VIP","None","warm",597
"649","2nd Floor - Front","Penny","Apr","Tuesday","4 Reel","Fruit",14,"VIP","None","dead",633
"653","2nd Floor - Front","Penny","Jul","Friday","Bonus Video","American",10,"VIP","None","showery",897
"654","2nd Floor - Front","Penny","Oct","Wednesday","4 Reel","Food",5,"VIP","None","arid",501
"656","2nd Floor - Front","Penny","Dec","Tuesday","Bonus Video","Retro",19,"New Player","None","hazy",598
"657","2nd Floor - Front","Penny","Dec","Wednesday","5 Reel","History",17,"VIP","None","bitter",1401
"658","2nd Floor - Front","Penny","Dec","Friday","Bonus Video","Movies",17,"Monthy Player","None","muggy",1080
"660","2nd Floor - Front","Two Cent","Feb","Wednesday","4 Reel","Other",13,"None","None","bad",1303
"661","2nd Floor - Front","Two Cent","Mar","Sunday","4 Reel","Sea",15,"Daily Special","None","warm",857
"662","2nd Floor - Front","Two Cent","Apr","Sunday","Progressive","Horror",13,"None","None","raw",686
"664","2nd Floor - Front","Two Cent","Jun","Thursday","5 Reel","Travel",14,"New Player","None","rainy",1486
"665","2nd Floor - Front","Two Cent","Aug","Wednesday","5 Reel","Riches",14,"VIP","None","calm",378
"667","2nd Floor - Front","Two Cent","Sep","Sunday","4 Reel","Regional",1,"New Player","None","revolting",394
"668","2nd Floor - Front","Two Cent","Oct","Sunday","5 Reel","Fruit",10,"Daily Special","None","dark",298
"670","2nd Floor - Front","Two Cent","Nov","Friday","4 Reel","Fairy Tale",4,"New Player","None","dark",743
"671","2nd Floor - Front","Two Cent","Nov","Sunday","Bonus Video","Holidays",5,"Monthy Player","None","sultry",145
"672","2nd Floor - Front","Two Cent","Dec","Tuesday","4 Reel","Riches",11,"Daily Special","None","clear",1319
"674","2nd Floor - Front","Nickel","Jan","Tuesday","Progressive","Holidays",8,"VIP","None","hot",417
"676","2nd Floor - Front","Nickel","Feb","Friday","Bonus Video","History",6,"VIP","None","humid",1437
"680","2nd Floor - Front","Nickel","Mar","Sunday","4 Reel","Movies",17,"VIP","None","bad",503
"681","2nd Floor - Front","Nickel","Apr","Wednesday","4 Reel","Movies",14,"Daily Special","None","crummy",510
"682","2nd Floor - Front","Nickel","Apr","Thursday","Progressive","Horror",19,"None","None","steamy",397
"683","2nd Floor - Front","Nickel","Jun","Friday","Bonus Video","History",19,"Monthy Player","None","crummy",219
"684","2nd Floor - Front","Nickel","Jul","Thursday","4 Reel","Magic",18,"None","None","windy",1377
"685","2nd Floor - Front","Nickel","Sep","Wednesday","4 Reel","Holidays",10,"Daily Special","None","damp",844
"686","2nd Floor - Front","Nickel","Oct","Friday","5 Reel","Animals",17,"VIP","None","windy",1278
"687","2nd Floor - Front","Nickel","Oct","Sunday","Bonus Video","Riches",14,"Daily Special","None","calm",1083
"688","2nd Floor - Front","Nickel","Nov","Wednesday","5 Reel","Casinos",10,"Daily Special","None","hazy",820
"690","2nd Floor - Front","Nickel","Dec","Sunday","5 Reel","Animals",15,"VIP","None","raw",564
"691","2nd Floor - Front","Nickel","Dec","Sunday","Progressive","Sea",13,"VIP","None","wet",711
"692","2nd Floor - Front","Dime","Jan","Sunday","Bonus Video","Food",3,"New Player","None","mild",1393
"693","2nd Floor - Front","Dime","Feb","Thursday","5 Reel","Magic",5,"None","None","dead",484
"694","2nd Floor - Front","Dime","Feb","Sunday","Bonus Video","Riches",14,"Monthy Player","None","showery",955
"695","2nd Floor - Front","Dime","Apr","Tuesday","Progressive","Travel",3,"Monthy Player","None","cloudy",112
"697","2nd Floor - Front","Dime","Aug","Tuesday","Bonus Video","Classic Symbols",6,"None","None","warm",1120
"699","2nd Floor - Front","Dime","Sep","Wednesday","Progressive","Regional",3,"Monthy Player","None","cloudy",628
"701","2nd Floor - Front","Dime","Dec","Tuesday","Bonus Video","Holidays",6,"New Player","None","frosty",32
"702","2nd Floor - Front","Quarter","Jan","Wednesday","5 Reel","Fairy Tale",4,"Daily Special","None","crummy",150
"703","2nd Floor - Front","Quarter","Jan","Wednesday","5 Reel","Retro",3,"None","None","good",605
"704","2nd Floor - Front","Quarter","Feb","Tuesday","Progressive","Regional",4,"VIP","None","scorching",1195
"705","2nd Floor - Front","Quarter","Feb","Tuesday","Bonus Video","Riches",11,"New Player","None","steamy",292
"706","2nd Floor - Front","Quarter","Feb","Tuesday","Bonus Video","Travel",10,"VIP","None","raw",141
"707","2nd Floor - Front","Quarter","Feb","Sunday","5 Reel","American",4,"VIP","None","damp",566
"709","2nd Floor - Front","Quarter","Apr","Monday","Bonus Video","Fairy Tale",3,"Monthy Player","None","drizzly",288
"710","2nd Floor - Front","Quarter","Apr","Sunday","4 Reel","Fruit",15,"None","None","steamy",871
"711","2nd Floor - Front","Quarter","Jun","Tuesday","Bonus Video","Magic",7,"VIP","None","revolting",1311
"712","2nd Floor - Front","Quarter","Jun","Wednesday","5 Reel","Entertainment",17,"Monthy Player","None","drizzly",1460
"713","2nd Floor - Front","Quarter","Jun","Wednesday","5 Reel","Food",2,"VIP","None","clear",887
"715","2nd Floor - Front","Quarter","Jun","Sunday","4 Reel","Sea",16,"Daily Special","None","sunny",933
"717","2nd Floor - Front","Quarter","Jul","Tuesday","4 Reel","Magic",16,"VIP","None","sunny",1120
"721","2nd Floor - Front","Quarter","Nov","Monday","5 Reel","Classic Symbols",8,"New Player","None","raw",141
"722","2nd Floor - Front","Half Dollar","Feb","Sunday","Progressive","Fairy Tale",19,"VIP","None","stormy",1213
"726","2nd Floor - Front","Half Dollar","Apr","Friday","4 Reel","Regional",9,"Daily Special","None","muggy",1098
"727","2nd Floor - Front","Half Dollar","May","Sunday","Bonus Video","History",13,"Monthy Player","None","dead",1345
"728","2nd Floor - Front","Half Dollar","Jun","Thursday","5 Reel","Retro",2,"New Player","None","bad",1380
"729","2nd Floor - Front","Half Dollar","Jun","Friday","Bonus Video","Fairy Tale",2,"New Player","None","drizzly",599
"730","2nd Floor - Front","Half Dollar","Jun","Sunday","5 Reel","Magic",6,"None","None","bitter",1018
"732","2nd Floor - Front","Half Dollar","Jul","Friday","5 Reel","Casinos",15,"Daily Special","None","hot",487
"733","2nd Floor - Front","Half Dollar","Jul","Sunday","5 Reel","Horror",19,"None","None","mild",344
"735","2nd Floor - Front","Half Dollar","Aug","Tuesday","Bonus Video","History",1,"None","None","frosty",741
"736","2nd Floor - Front","Half Dollar","Aug","Wednesday","Bonus Video","Adventure",19,"Daily Special","None","crummy",893
"737","2nd Floor - Front","Half Dollar","Aug","Friday","5 Reel","Animals",20,"New Player","None","blusterous",721
"739","2nd Floor - Front","Half Dollar","Sep","Tuesday","Bonus Video","Horror",8,"Daily Special","None","hot",1329
"740","2nd Floor - Front","Half Dollar","Oct","Monday","5 Reel","Regional",11,"Daily Special","None","dark",995
"741","2nd Floor - Front","Half Dollar","Oct","Friday","5 Reel","Casinos",6,"VIP","None","raw",720
"742","2nd Floor - Front","Half Dollar","Nov","Thursday","5 Reel","Casinos",5,"Daily Special","None","good",1488
"743","2nd Floor - Front","Half Dollar","Nov","Sunday","Bonus Video","Love",20,"VIP","None","crummy",1461
"744","2nd Floor - Front","Half Dollar","Dec","Tuesday","5 Reel","Love",11,"VIP","None","revolting",653
"745","2nd Floor - Front","Dollar","Jan","Thursday","4 Reel","Riches",7,"None","None","good",257
"746","2nd Floor - Front","Dollar","Jan","Friday","5 Reel","Food",15,"Daily Special","None","hot",180
"747","2nd Floor - Front","Dollar","Jan","Sunday","Progressive","Horror",4,"VIP","None","mild",1096
"748","2nd Floor - Front","Dollar","Feb","Friday","5 Reel","History",3,"New Player","None","frosty",1439
"749","2nd Floor - Front","Dollar","Feb","Sunday","Progressive","Horror",20,"Monthy Player","None","scorching",950
"752","2nd Floor - Front","Dollar","Mar","Tuesday","5 Reel","Fairy Tale",12,"VIP","None","humid",194
"753","2nd Floor - Front","Dollar","Mar","Tuesday","Bonus Video","Horror",7,"VIP","None","damp",1227
"754","2nd Floor - Front","Dollar","Mar","Thursday","4 Reel","Classic Symbols",10,"Monthy Player","None","bitter",1307
"755","2nd Floor - Front","Dollar","Mar","Thursday","4 Reel","Classic Symbols",20,"Monthy Player","None","dark",1317
"756","2nd Floor - Front","Dollar","Mar","Thursday","Progressive","Fairy Tale",10,"None","None","revolting",398
"757","2nd Floor - Front","Dollar","Apr","Thursday","Progressive","Animals",20,"Daily Special","None","sunny",884
"759","2nd Floor - Front","Dollar","Jun","Thursday","Progressive","Other",11,"Daily Special","None","cold",86
"760","2nd Floor - Front","Dollar","Jul","Tuesday","5 Reel","Casinos",3,"VIP","None","crummy",478
"762","2nd Floor - Front","Dollar","Jul","Friday","Bonus Video","Adventure",20,"None","None","sultry",150
"765","2nd Floor - Front","Dollar","Nov","Wednesday","4 Reel","Fairy Tale",5,"VIP","None","humid",1179
"766","2nd Floor - Front","Dollar","Nov","Sunday","4 Reel","Food",12,"Monthy Player","None","cloudy",1333
"768","2nd Floor - Front","Dollar","Dec","Wednesday","Bonus Video","Casinos",2,"New Player","None","drizzly",67
"770","2nd Floor - Front","Two Dollar","Feb","Tuesday","Progressive","Magic",1,"None","None","drizzly",1288
"771","2nd Floor - Front","Two Dollar","Mar","Sunday","Bonus Video","Sea",6,"New Player","None","icy",1213
"773","2nd Floor - Front","Two Dollar","Jul","Wednesday","Progressive","Travel",3,"VIP","None","dark",187
"774","2nd Floor - Front","Two Dollar","Aug","Monday","4 Reel","American",15,"Monthy Player","None","hazy",1479
"776","2nd Floor - Front","Two Dollar","Nov","Monday","4 Reel","Fruit",11,"VIP","None","muggy",1237
"777","2nd Floor - Front","Two Dollar","Nov","Wednesday","5 Reel","Classic Symbols",6,"Daily Special","None","revolting",522
"778","2nd Floor - Front","Two Dollar","Nov","Wednesday","Bonus Video","Holidays",10,"Monthy Player","None","close",661
"779","2nd Floor - Front","Two Dollar","Nov","Sunday","4 Reel","American",11,"New Player","None","damp",278
"780","2nd Floor - Front","Two Dollar","Dec","Monday","4 Reel","Movies",18,"Daily Special","None","cloudy",1227
"781","2nd Floor - Front","Two Dollar","Dec","Monday","Progressive","Movies",17,"Monthy Player","None","hot",537
"782","2nd Floor - Front","Two Dollar","Dec","Wednesday","5 Reel","Riches",15,"New Player","None","revolting",430
"783","2nd Floor - Front","Two Dollar","Dec","Wednesday","Progressive","Riches",4,"VIP","None","bitter",1200
"784","2nd Floor - Front","Two Dollar","Dec","Thursday","Progressive","Love",10,"Monthy Player","None","close",1000
"785","2nd Floor - Front","Two Dollar","Dec","Friday","Bonus Video","Movies",12,"None","None","misty",1125
"786","2nd Floor - Front","Two Dollar","Dec","Sunday","4 Reel","Entertainment",3,"None","None","close",773
