Location,Denomination,Month,Weekday,Type,Theme,Age,Promotion,Coupons,Weather,Coin-in
1st Floor - Middle,Quarter,Oct,Sunday,Progressive,Movies,20,New Player,None,clear,2123
1st Floor - Middle,Quarter,Nov,Sunday,Progressive,Magic,11,New Player,None,rainy,13
1st Floor - Middle,Quarter,Dec,Monday,4 Reel,Movies,12,Daily Special,None,dead,991
1st Floor - Middle,Quarter,Dec,Friday,Progressive,Classic Symbols,4,Monthy Player,None,hot,997
1st Floor - Middle,Quarter,Dec,Friday,Progressive,Holidays,15,None,None,close,2
1st Floor - Middle,Quarter,Dec,Friday,Progressive,Horror,15,None,None,close,844
1st Floor - Middle,Half Dollar,Feb,Monday,5 Reel,Retro,9,VIP,None,blusterous,2136
1st Floor - Middle,Half Dollar,Mar,Monday,4 Reel,Other,7,VIP,None,drizzly,1010
1st Floor - Middle,Half Dollar,Mar,Friday,Bonus Video,Horror,12,VIP,None,steamy,1612
1st Floor - Middle,Half Dollar,May,Monday,4 Reel,Food,18,New Player,None,bad,1021
1st Floor - Middle,Half Dollar,May,Monday,Progressive,Holidays,13,VIP,None,calm,2004
1st Floor - Middle,Half Dollar,May,Thursday,4 Reel,Fruit,13,New Player,None,wet,1133
1st Floor - Middle,Half Dollar,Jun,Tuesday,4 Reel,Holidays,18,None,None,snow,1803
1st Floor - Middle,Half Dollar,Jun,Tuesday,4 Reel,Retro,9,None,None,crummy,1797
1st Floor - Middle,Half Dollar,Jun,Thursday,5 Reel,Food,18,Monthy Player,None,raw,2053
1st Floor - Middle,Half Dollar,Jun,Friday,5 Reel,Adventure,16,Daily Special,None,showery,738
1st Floor - Middle,Half Dollar,Jul,Monday,4 Reel,Entertainment,7,Daily Special,None,revolting,926
1st Floor - Middle,Half Dollar,Sep,Tuesday,Bonus Video,Classic Symbols,11,VIP,None,bad,1980
1st Floor - Middle,Half Dollar,Sep,Thursday,Progressive,Animals,1,Monthy Player,None,crummy,1542
1st Floor - Middle,Half Dollar,Nov,Wednesday,Progressive,Sea,19,Daily Special,None,dark,1660
1st Floor - Middle,Half Dollar,Nov,Sunday,Bonus Video,Love,2,Daily Special,None,cloudy,672
1st Floor - Middle,Half Dollar,Dec,Monday,Progressive,American,10,Monthy Player,None,humid,1990
1st Floor - Middle,Half Dollar,Dec,Wednesday,5 Reel,Horror,12,Monthy Player,None,dead,777
1st Floor - Middle,Half Dollar,Dec,Thursday,4 Reel,Other,5,New Player,None,balmy,1547
1st Floor - Middle,Half Dollar,Dec,Friday,Bonus Video,Regional,9,None,None,scorching,664
1st Floor - Middle,Dollar,Feb,Sunday,4 Reel,Classic Symbols,9,Daily Special,None,blusterous,305
1st Floor - Middle,Dollar,Mar,Wednesday,Bonus Video,Entertainment,18,New Player,None,tempestuous,543
1st Floor - Middle,Dollar,Apr,Monday,5 Reel,Casinos,4,VIP,None,sultry,553
1st Floor - Middle,Dollar,Apr,Sunday,5 Reel,American,10,Monthy Player,None,bad,798
1st Floor - Middle,Dollar,May,Monday,5 Reel,Animals,19,Daily Special,None,humid,1739
1st Floor - Middle,Dollar,Jun,Tuesday,4 Reel,Entertainment,3,VIP,None,raw,2045
1st Floor - Middle,Dollar,Jun,Tuesday,Bonus Video,Horror,3,None,None,dead,993
1st Floor - Middle,Dollar,Sep,Friday,Bonus Video,Retro,19,Daily Special,None,frosty,1957
1st Floor - Middle,Dollar,Oct,Monday,5 Reel,Animals,9,Daily Special,None,cold,1813
1st Floor - Middle,Dollar,Oct,Wednesday,Bonus Video,Adventure,16,New Player,None,sultry,2168
1st Floor - Middle,Dollar,Oct,Sunday,4 Reel,Fairy Tale,11,Monthy Player,None,raw,718
1st Floor - Middle,Dollar,Nov,Sunday,Progressive,Classic Symbols,5,Monthy Player,None,muggy,1701
1st Floor - Middle,Two Dollar,Jan,Wednesday,Progressive,Fruit,9,VIP,None,good,695
1st Floor - Middle,Two Dollar,Jan,Thursday,Progressive,Animals,15,None,None,stormy,750
1st Floor - Middle,Two Dollar,Feb,Monday,5 Reel,Holidays,10,Monthy Player,None,showery,40
1st Floor - Middle,Two Dollar,Feb,Thursday,Progressive,Entertainment,15,Daily Special,None,arid,787
1st Floor - Middle,Two Dollar,Feb,Thursday,Progressive,Regional,4,New Player,None,scorching,1392
1st Floor - Middle,Two Dollar,Feb,Sunday,Progressive,Fruit,4,New Player,None,sunny,865
1st Floor - Middle,Two Dollar,Mar,Wednesday,Bonus Video,Retro,20,Monthy Player,None,icy,1336
1st Floor - Middle,Two Dollar,Mar,Sunday,Progressive,Sea,13,Daily Special,None,revolting,1981
1st Floor - Middle,Two Dollar,May,Friday,4 Reel,Love,6,VIP,None,balmy,1276
1st Floor - Middle,Two Dollar,Jun,Tuesday,5 Reel,Fruit,4,None,None,frosty,1229
1st Floor - Middle,Two Dollar,Jun,Friday,5 Reel,Casinos,6,Daily Special,None,humid,110
1st Floor - Middle,Two Dollar,Jul,Sunday,4 Reel,History,1,Daily Special,None,revolting,1406
1st Floor - Middle,Two Dollar,Aug,Tuesday,Bonus Video,Horror,12,New Player,None,sunny,1135
1st Floor - Middle,Two Dollar,Aug,Thursday,4 Reel,Food,16,VIP,None,windy,1099
1st Floor - Middle,Two Dollar,Sep,Sunday,Bonus Video,American,14,None,None,windy,1954
1st Floor - Middle,Two Dollar,Oct,Monday,Bonus Video,Food,10,None,None,hazy,172
1st Floor - Middle,Two Dollar,Oct,Wednesday,5 Reel,Sea,14,Monthy Player,None,muggy,1308
1st Floor - Middle,Two Dollar,Oct,Sunday,4 Reel,Travel,2,Monthy Player,None,snow,2017
1st Floor - Middle,Two Dollar,Nov,Friday,5 Reel,Holidays,14,None,None,drizzly,190
1st Floor - Middle,Two Dollar,Dec,Wednesday,Bonus Video,Other,18,New Player,None,crummy,1328
1st Floor - Middle,Five Dollar,Jan,Thursday,4 Reel,Movies,10,New Player,None,blusterous,1445
1st Floor - Middle,Five Dollar,Feb,Sunday,Bonus Video,Horror,5,Daily Special,None,crummy,1027
1st Floor - Middle,Five Dollar,Mar,Wednesday,5 Reel,Love,4,New Player,None,raw,1419
1st Floor - Middle,Five Dollar,Mar,Friday,5 Reel,Adventure,16,None,None,hot,1312
1st Floor - Middle,Five Dollar,Apr,Thursday,4 Reel,Travel,17,VIP,None,tempestuous,456
1st Floor - Middle,Five Dollar,Apr,Sunday,Progressive,American,9,Monthy Player,None,cloudy,237
1st Floor - Middle,Five Dollar,May,Monday,Bonus Video,Travel,20,Daily Special,None,hot,538
1st Floor - Middle,Five Dollar,May,Tuesday,4 Reel,Casinos,18,Monthy Player,None,dead,576
1st Floor - Middle,Five Dollar,May,Friday,4 Reel,American,2,None,None,misty,2123
1st Floor - Middle,Five Dollar,Jun,Monday,5 Reel,Love,13,None,None,mild,899
1st Floor - Middle,Five Dollar,Jun,Monday,Progressive,Food,10,None,None,arid,556
1st Floor - Middle,Five Dollar,Jun,Wednesday,4 Reel,Food,20,None,None,bitter,1948
1st Floor - Middle,Five Dollar,Jun,Sunday,Bonus Video,Sea,7,Daily Special,None,revolting,816
1st Floor - Middle,Five Dollar,Jul,Monday,4 Reel,Sea,19,Monthy Player,None,sunny,1433
1st Floor - Middle,Five Dollar,Jul,Friday,4 Reel,Food,17,New Player,None,sultry,383
1st Floor - Middle,Five Dollar,Oct,Wednesday,5 Reel,Horror,2,Monthy Player,None,close,1589
1st Floor - Middle,Five Dollar,Nov,Friday,Bonus Video,Sea,11,Monthy Player,None,wet,633
1st Floor - Middle,Five Dollar,Dec,Wednesday,4 Reel,Retro,17,Monthy Player,None,crummy,755
1st Floor - Middle,Five Dollar,Dec,Friday,5 Reel,Animals,17,Daily Special,None,clear,473
1st Floor - Middle,Ten Dollar,Feb,Wednesday,Bonus Video,Movies,12,Daily Special,None,dead,1771
1st Floor - Middle,Ten Dollar,Mar,Tuesday,Progressive,Sea,1,New Player,None,showery,1842
1st Floor - Middle,Ten Dollar,Apr,Monday,5 Reel,Entertainment,12,Monthy Player,None,frosty,398
1st Floor - Middle,Ten Dollar,Apr,Monday,Bonus Video,Adventure,19,Monthy Player,None,balmy,622
1st Floor - Middle,Ten Dollar,Apr,Sunday,Bonus Video,Movies,12,VIP,None,humid,1023
1st Floor - Middle,Ten Dollar,Jun,Monday,4 Reel,American,14,VIP,None,tempestuous,2101
1st Floor - Middle,Ten Dollar,Jun,Wednesday,Bonus Video,Food,7,None,None,crummy,1869
1st Floor - Middle,Ten Dollar,Jul,Tuesday,5 Reel,Holidays,12,New Player,None,scorching,267
1st Floor - Middle,Ten Dollar,Jul,Friday,Bonus Video,Movies,10,Daily Special,None,dead,783
1st Floor - Middle,Ten Dollar,Oct,Tuesday,4 Reel,Entertainment,7,Daily Special,None,bad,1884
1st Floor - Middle,Ten Dollar,Nov,Wednesday,5 Reel,Riches,19,Monthy Player,None,damp,1774
1st Floor - Middle,Ten Dollar,Nov,Sunday,5 Reel,Fruit,17,Daily Special,None,revolting,1885
1st Floor - Middle,Twenty Five Dollar,Jan,Friday,Progressive,American,17,Monthy Player,None,bitter,1780
1st Floor - Middle,Twenty Five Dollar,Jan,Friday,Bonus Video,Fairy Tale,16,New Player,None,revolting,1733
1st Floor - Middle,Twenty Five Dollar,Jan,Sunday,5 Reel,Food,3,New Player,None,calm,2153
1st Floor - Middle,Twenty Five Dollar,Feb,Friday,Progressive,Adventure,20,Monthy Player,None,calm,929
1st Floor - Middle,Twenty Five Dollar,Feb,Sunday,Progressive,American,18,Monthy Player,None,hazy,1385
1st Floor - Middle,Twenty Five Dollar,Mar,Thursday,Progressive,Adventure,7,New Player,None,hot,478
1st Floor - Middle,Twenty Five Dollar,Mar,Friday,Bonus Video,Movies,12,New Player,None,good,1970
1st Floor - Middle,Twenty Five Dollar,Apr,Monday,Bonus Video,Regional,8,New Player,None,tempestuous,829
1st Floor - Middle,Twenty Five Dollar,Apr,Wednesday,5 Reel,Casinos,3,VIP,None,scorching,864
1st Floor - Middle,Twenty Five Dollar,Aug,Tuesday,4 Reel,History,16,Monthy Player,None,rainy,62
1st Floor - Middle,Twenty Five Dollar,Oct,Friday,Bonus Video,Retro,7,None,None,arid,25
1st Floor - Middle,Twenty Five Dollar,Oct,Sunday,Bonus Video,Riches,5,VIP,None,calm,2118
1st Floor - Middle,Twenty Five Dollar,Nov,Monday,4 Reel,Casinos,5,New Player,None,calm,66
1st Floor - Middle,Twenty Five Dollar,Nov,Tuesday,Bonus Video,Animals,16,VIP,None,misty,1820
1st Floor - Middle,Twenty Five Dollar,Nov,Tuesday,Bonus Video,Movies,12,New Player,None,close,782
1st Floor - Middle,Twenty Five Dollar,Nov,Wednesday,5 Reel,Magic,3,VIP,None,cold,401
1st Floor - Middle,Twenty Five Dollar,Nov,Sunday,5 Reel,Fairy Tale,7,New Player,None,crummy,801
1st Floor - Middle,Twenty Five Dollar,Dec,Wednesday,Progressive,Travel,9,VIP,None,calm,1468
1st Floor - Middle,Fifty Dollar,Jan,Thursday,4 Reel,Sea,5,VIP,None,good,1654
1st Floor - Middle,Fifty Dollar,Mar,Monday,Progressive,Food,11,VIP,None,arid,1978
1st Floor - Middle,Fifty Dollar,Mar,Wednesday,Progressive,History,18,VIP,None,scorching,1199
1st Floor - Middle,Fifty Dollar,Mar,Sunday,5 Reel,Other,11,None,None,raw,828
1st Floor - Middle,Fifty Dollar,May,Monday,4 Reel,Other,8,Daily Special,None,frosty,962
1st Floor - Middle,Fifty Dollar,Jul,Monday,Bonus Video,Classic Symbols,17,None,None,clear,825
1st Floor - Middle,Fifty Dollar,Jul,Wednesday,5 Reel,Casinos,5,VIP,None,balmy,1016
1st Floor - Middle,Fifty Dollar,Aug,Wednesday,Progressive,Other,15,New Player,None,balmy,1752
1st Floor - Middle,Fifty Dollar,Oct,Tuesday,4 Reel,Fairy Tale,16,Daily Special,None,snow,1357
1st Floor - Middle,Fifty Dollar,Nov,Tuesday,Progressive,History,20,None,None,balmy,1107
1st Floor - Middle,Fifty Dollar,Nov,Wednesday,Progressive,Entertainment,14,Daily Special,None,showery,1733
1st Floor - Middle,Fifty Dollar,Dec,Sunday,Progressive,Magic,20,Monthy Player,None,sultry,1125
1st Floor - Middle,Hundred Dollar,Mar,Monday,Bonus Video,Adventure,5,Monthy Player,None,humid,834
1st Floor - Middle,Hundred Dollar,Apr,Monday,4 Reel,Regional,11,Monthy Player,None,cloudy,547
1st Floor - Middle,Hundred Dollar,Apr,Tuesday,5 Reel,Regional,2,New Player,None,windy,1009
1st Floor - Middle,Hundred Dollar,Apr,Sunday,Progressive,Riches,17,VIP,None,crummy,141
1st Floor - Middle,Hundred Dollar,Jun,Sunday,4 Reel,Regional,20,None,None,revolting,642
1st Floor - Middle,Hundred Dollar,Aug,Thursday,4 Reel,Food,14,New Player,None,rainy,2160
1st Floor - Middle,Hundred Dollar,Sep,Sunday,4 Reel,Travel,14,None,None,close,136
1st Floor - Middle,Hundred Dollar,Nov,Wednesday,4 Reel,American,5,Monthy Player,None,revolting,1870
1st Floor - Middle,Hundred Dollar,Nov,Sunday,Bonus Video,Casinos,18,New Player,None,muggy,1710
1st Floor - Middle,Hundred Dollar,Dec,Monday,Progressive,Holidays,12,VIP,None,stormy,626
1st Floor - Back,Penny,Jan,Tuesday,5 Reel,Entertainment,1,Monthy Player,None,close,1699
1st Floor - Back,Penny,Jan,Thursday,5 Reel,Regional,4,New Player,None,stormy,1859
1st Floor - Back,Penny,Jan,Thursday,Progressive,Entertainment,5,New Player,None,wet,1401
1st Floor - Back,Penny,Jan,Thursday,Progressive,Fairy Tale,12,VIP,None,blusterous,1390
1st Floor - Back,Penny,Feb,Tuesday,Progressive,Adventure,13,VIP,None,damp,1011
1st Floor - Back,Penny,Feb,Thursday,4 Reel,Casinos,20,None,None,windy,560
1st Floor - Back,Penny,Feb,Friday,4 Reel,Regional,10,New Player,None,hot,1184
1st Floor - Back,Penny,Feb,Sunday,4 Reel,Holidays,18,New Player,None,good,1263
1st Floor - Back,Penny,Mar,Thursday,Progressive,Other,5,Monthy Player,None,damp,1892
1st Floor - Back,Penny,Mar,Friday,Progressive,Movies,15,VIP,None,humid,719
1st Floor - Back,Penny,Apr,Sunday,4 Reel,Classic Symbols,17,Monthy Player,None,arid,1159
1st Floor - Back,Penny,May,Wednesday,Bonus Video,Magic,10,None,None,raw,774
1st Floor - Back,Penny,Jun,Thursday,4 Reel,Retro,3,None,None,cloudy,610
1st Floor - Back,Penny,Jun,Thursday,Progressive,History,2,New Player,None,bitter,2152
1st Floor - Back,Penny,Jul,Sunday,5 Reel,Retro,13,New Player,None,cloudy,735
1st Floor - Back,Penny,Sep,Friday,Bonus Video,Adventure,10,None,None,cloudy,1089
1st Floor - Back,Penny,Oct,Monday,5 Reel,Movies,5,New Player,None,humid,877
1st Floor - Back,Penny,Nov,Thursday,Progressive,Fruit,18,Daily Special,None,arid,436
1st Floor - Back,Penny,Dec,Monday,Progressive,Other,11,VIP,None,cloudy,561
1st Floor - Back,Penny,Dec,Friday,Bonus Video,Horror,16,New Player,None,steamy,880
1st Floor - Back,Penny,Dec,Sunday,Progressive,Travel,14,VIP,None,bad,1845
1st Floor - Back,Two Cent,Jan,Monday,5 Reel,Animals,20,None,None,mild,1522
1st Floor - Back,Two Cent,Jan,Monday,Progressive,Casinos,13,VIP,None,blusterous,1758
1st Floor - Back,Two Cent,Feb,Tuesday,Bonus Video,Riches,5,None,None,cloudy,1857
1st Floor - Back,Two Cent,Feb,Sunday,Progressive,Magic,8,None,None,balmy,1206
1st Floor - Back,Two Cent,Mar,Monday,4 Reel,Entertainment,13,VIP,None,calm,917
1st Floor - Back,Two Cent,Mar,Friday,4 Reel,Travel,6,Monthy Player,None,tempestuous,1000
1st Floor - Back,Two Cent,Mar,Friday,4 Reel,Travel,18,Daily Special,None,calm,981
1st Floor - Back,Two Cent,Apr,Sunday,Bonus Video,Casinos,11,New Player,None,sunny,1143
1st Floor - Back,Two Cent,Jun,Friday,5 Reel,Fruit,13,None,None,scorching,1821
1st Floor - Back,Two Cent,Jul,Monday,Bonus Video,Other,8,VIP,None,showery,1690
1st Floor - Back,Two Cent,Aug,Friday,4 Reel,Holidays,5,Monthy Player,None,stormy,1100
1st Floor - Back,Two Cent,Sep,Thursday,5 Reel,Riches,19,Daily Special,None,humid,532
1st Floor - Back,Two Cent,Sep,Sunday,4 Reel,Other,13,VIP,None,revolting,572
1st Floor - Back,Two Cent,Oct,Tuesday,4 Reel,Travel,13,VIP,None,raw,1520
1st Floor - Back,Two Cent,Oct,Sunday,4 Reel,Travel,6,New Player,None,mild,2061
1st Floor - Back,Two Cent,Dec,Tuesday,Bonus Video,Riches,19,Daily Special,None,clear,1793
1st Floor - Back,Nickel,Jan,Tuesday,5 Reel,Magic,17,New Player,None,crummy,407
1st Floor - Back,Nickel,Jan,Sunday,Progressive,Magic,10,VIP,None,misty,1471
1st Floor - Back,Nickel,Feb,Wednesday,Bonus Video,Holidays,18,VIP,None,sultry,914
1st Floor - Back,Nickel,Mar,Monday,Progressive,Movies,1,VIP,None,misty,839
1st Floor - Back,Nickel,Mar,Tuesday,4 Reel,Casinos,9,Monthy Player,None,dark,1771
1st Floor - Back,Nickel,Apr,Wednesday,4 Reel,Movies,8,Monthy Player,None,bad,1460
1st Floor - Back,Nickel,Apr,Wednesday,4 Reel,Riches,4,Daily Special,None,sunny,2184
1st Floor - Back,Nickel,Apr,Wednesday,Bonus Video,Retro,12,Monthy Player,None,hazy,1581
1st Floor - Back,Nickel,May,Tuesday,Bonus Video,Movies,7,VIP,None,bad,1508
1st Floor - Back,Nickel,May,Friday,Bonus Video,Adventure,18,None,None,calm,2002
1st Floor - Back,Nickel,Jun,Sunday,4 Reel,Food,13,None,None,blusterous,2173
1st Floor - Back,Nickel,Aug,Thursday,4 Reel,Classic Symbols,7,New Player,None,wet,523
1st Floor - Back,Nickel,Sep,Tuesday,4 Reel,Travel,7,Monthy Player,None,cold,15
1st Floor - Back,Nickel,Sep,Thursday,4 Reel,American,18,Daily Special,None,balmy,1253
1st Floor - Back,Nickel,Sep,Sunday,5 Reel,Magic,20,VIP,None,sunny,1248
1st Floor - Back,Nickel,Oct,Monday,5 Reel,Movies,6,VIP,None,arid,939
1st Floor - Back,Nickel,Oct,Tuesday,5 Reel,Casinos,10,Monthy Player,None,drizzly,1076
1st Floor - Back,Nickel,Oct,Tuesday,Progressive,Riches,6,New Player,None,crummy,2069
1st Floor - Back,Nickel,Oct,Thursday,Progressive,Classic Symbols,12,Monthy Player,None,tempestuous,277
1st Floor - Back,Nickel,Oct,Friday,Progressive,Love,9,Monthy Player,None,hot,1972
1st Floor - Back,Nickel,Dec,Friday,5 Reel,Riches,14,Daily Special,None,bad,683
1st Floor - Back,Dime,Jan,Sunday,5 Reel,Riches,1,None,None,cloudy,271
1st Floor - Back,Dime,Feb,Friday,5 Reel,Love,8,Monthy Player,None,wet,238
1st Floor - Back,Dime,Feb,Sunday,Progressive,Travel,8,VIP,None,dark,203
1st Floor - Back,Dime,Feb,Sunday,Bonus Video,Horror,15,Daily Special,None,mild,1003
1st Floor - Back,Dime,Mar,Thursday,Progressive,Movies,8,VIP,None,steamy,384
1st Floor - Back,Dime,Mar,Sunday,4 Reel,Magic,20,New Player,None,close,1771
1st Floor - Back,Dime,Mar,Sunday,Progressive,Horror,18,New Player,None,stormy,214
1st Floor - Back,Dime,Apr,Wednesday,4 Reel,Fairy Tale,11,VIP,None,muggy,1696
1st Floor - Back,Dime,May,Tuesday,Bonus Video,Food,18,Monthy Player,None,misty,1936
1st Floor - Back,Dime,May,Sunday,Progressive,Other,5,New Player,None,tempestuous,2033
1st Floor - Back,Dime,Jun,Monday,4 Reel,Love,9,VIP,None,humid,502
1st Floor - Back,Dime,Jul,Wednesday,Progressive,Movies,17,Monthy Player,None,close,524
1st Floor - Back,Dime,Jul,Friday,4 Reel,Travel,19,New Player,None,showery,1292
1st Floor - Back,Dime,Jul,Sunday,5 Reel,Horror,9,Monthy Player,None,humid,1897
1st Floor - Back,Dime,Aug,Wednesday,Bonus Video,Animals,13,New Player,None,wet,1224
1st Floor - Back,Dime,Sep,Tuesday,Bonus Video,Regional,19,Monthy Player,None,frosty,2160
1st Floor - Back,Dime,Sep,Thursday,Progressive,Travel,1,New Player,None,blusterous,712
1st Floor - Back,Dime,Nov,Wednesday,Progressive,Retro,3,New Player,None,drizzly,2072
1st Floor - Back,Dime,Nov,Friday,4 Reel,Riches,13,Monthy Player,None,revolting,2016
1st Floor - Back,Dime,Nov,Sunday,Progressive,Magic,14,New Player,None,dead,877
1st Floor - Back,Dime,Dec,Tuesday,Bonus Video,Magic,14,None,None,revolting,128
1st Floor - Back,Dime,Dec,Wednesday,4 Reel,Travel,2,None,None,cold,1071
1st Floor - Back,Quarter,Feb,Monday,5 Reel,Travel,3,Daily Special,None,cloudy,1609
1st Floor - Back,Quarter,Feb,Wednesday,Bonus Video,Retro,10,Monthy Player,None,drizzly,99
1st Floor - Back,Quarter,Feb,Friday,Bonus Video,Horror,1,VIP,None,clear,1238
1st Floor - Back,Quarter,Apr,Tuesday,5 Reel,Other,15,None,None,frosty,478
1st Floor - Back,Quarter,Apr,Wednesday,Progressive,Magic,14,Daily Special,None,wet,1942
1st Floor - Back,Quarter,Apr,Sunday,Bonus Video,Adventure,18,VIP,None,blusterous,355
1st Floor - Back,Quarter,May,Thursday,Bonus Video,Other,9,New Player,None,close,2174
1st Floor - Back,Quarter,Jun,Monday,Progressive,Travel,3,Daily Special,None,stormy,431
1st Floor - Back,Quarter,Jun,Wednesday,4 Reel,Adventure,8,Daily Special,None,drizzly,1304
1st Floor - Back,Quarter,Aug,Tuesday,Progressive,Travel,8,Monthy Player,None,tempestuous,565
1st Floor - Back,Quarter,Aug,Thursday,5 Reel,Retro,8,Monthy Player,None,mild,443
1st Floor - Back,Quarter,Aug,Thursday,Bonus Video,History,9,None,None,bad,2115
1st Floor - Back,Quarter,Oct,Tuesday,5 Reel,Fairy Tale,18,Monthy Player,None,revolting,705
1st Floor - Back,Quarter,Nov,Thursday,5 Reel,Fruit,6,None,None,rainy,1815
1st Floor - Back,Quarter,Nov,Friday,Bonus Video,Regional,9,Daily Special,None,hot,804
1st Floor - Back,Quarter,Dec,Thursday,Bonus Video,Retro,1,Monthy Player,None,mild,1068
1st Floor - Back,Quarter,Dec,Friday,5 Reel,Riches,1,Daily Special,None,crummy,1820
1st Floor - Back,Half Dollar,Jan,Wednesday,Bonus Video,Retro,17,New Player,None,calm,39
1st Floor - Back,Half Dollar,Feb,Friday,4 Reel,History,19,VIP,None,stormy,449
1st Floor - Back,Half Dollar,Mar,Wednesday,Bonus Video,Retro,4,Monthy Player,None,sultry,702
1st Floor - Back,Half Dollar,Apr,Thursday,4 Reel,Holidays,17,New Player,None,humid,1449
1st Floor - Back,Half Dollar,Apr,Thursday,5 Reel,Other,6,None,None,hot,1667
1st Floor - Back,Half Dollar,Apr,Sunday,4 Reel,Adventure,16,VIP,None,hazy,1817
1st Floor - Back,Half Dollar,May,Monday,5 Reel,Love,5,VIP,None,dead,184
1st Floor - Back,Half Dollar,May,Sunday,4 Reel,Entertainment,17,Monthy Player,None,cloudy,368
1st Floor - Back,Half Dollar,Jun,Sunday,4 Reel,American,8,VIP,None,hot,1452
1st Floor - Back,Half Dollar,Jul,Monday,5 Reel,Travel,2,Monthy Player,None,dead,1635
1st Floor - Back,Half Dollar,Jul,Wednesday,4 Reel,Fruit,17,Daily Special,None,blusterous,898
1st Floor - Back,Half Dollar,Jul,Friday,5 Reel,Other,8,Daily Special,None,calm,1456
1st Floor - Back,Half Dollar,Aug,Tuesday,4 Reel,Food,20,Monthy Player,None,damp,939
1st Floor - Back,Half Dollar,Aug,Tuesday,Bonus Video,Retro,7,New Player,None,dead,1674
1st Floor - Back,Half Dollar,Aug,Friday,4 Reel,Animals,10,Daily Special,None,balmy,1633
1st Floor - Back,Half Dollar,Sep,Thursday,Progressive,Fairy Tale,19,Monthy Player,None,close,1824
1st Floor - Back,Half Dollar,Oct,Thursday,Bonus Video,Retro,7,Monthy Player,None,muggy,1618
1st Floor - Back,Half Dollar,Oct,Sunday,4 Reel,Horror,6,VIP,None,tempestuous,1502
1st Floor - Back,Half Dollar,Dec,Monday,5 Reel,Fruit,13,VIP,None,close,1842
1st Floor - Back,Half Dollar,Dec,Monday,Progressive,Riches,13,VIP,None,drizzly,525
1st Floor - Back,Half Dollar,Dec,Wednesday,Bonus Video,Other,7,None,None,drizzly,969
1st Floor - Back,Dollar,Mar,Friday,Progressive,Riches,12,New Player,None,muggy,306
1st Floor - Back,Dollar,Apr,Monday,Bonus Video,Adventure,17,Monthy Player,None,showery,890
1st Floor - Back,Dollar,Apr,Monday,Bonus Video,Casinos,10,Monthy Player,None,rainy,1597
1st Floor - Back,Dollar,Apr,Wednesday,Progressive,Fruit,20,Monthy Player,None,sultry,131
1st Floor - Back,Dollar,Apr,Thursday,Progressive,Animals,20,None,None,wet,1036
1st Floor - Back,Dollar,Jun,Monday,5 Reel,Classic Symbols,11,New Player,None,warm,713
1st Floor - Back,Dollar,Jul,Monday,Progressive,Other,6,None,None,sunny,981
1st Floor - Back,Dollar,Jul,Wednesday,Bonus Video,Love,20,Daily Special,None,revolting,8
1st Floor - Back,Dollar,Jul,Friday,4 Reel,History,7,New Player,None,dark,1882
1st Floor - Back,Dollar,Jul,Sunday,Bonus Video,Magic,13,Daily Special,None,tempestuous,193
1st Floor - Back,Dollar,Aug,Tuesday,4 Reel,Travel,17,None,None,showery,1589
1st Floor - Back,Dollar,Aug,Thursday,5 Reel,Travel,11,VIP,None,clear,809
1st Floor - Back,Dollar,Sep,Tuesday,4 Reel,Sea,13,Daily Special,None,bad,1833
1st Floor - Back,Dollar,Oct,Friday,5 Reel,Movies,6,Monthy Player,None,frosty,668
1st Floor - Back,Dollar,Oct,Sunday,Progressive,Other,18,New Player,None,dead,2030
1st Floor - Back,Dollar,Nov,Wednesday,5 Reel,Love,8,None,None,drizzly,1531
1st Floor - Back,Dollar,Nov,Wednesday,5 Reel,Other,6,VIP,None,calm,2061
1st Floor - Back,Dollar,Nov,Sunday,Bonus Video,Horror,19,New Player,None,cold,360
1st Floor - Back,Dollar,Dec,Monday,4 Reel,Fruit,12,Daily Special,None,sultry,1466
1st Floor - Back,Two Dollar,Jan,Tuesday,4 Reel,Travel,9,Daily Special,None,humid,1837
1st Floor - Back,Two Dollar,Jan,Friday,5 Reel,Entertainment,13,Monthy Player,None,windy,2186
1st Floor - Back,Two Dollar,Feb,Friday,4 Reel,Classic Symbols,7,New Player,None,cold,1061
1st Floor - Back,Two Dollar,Mar,Thursday,4 Reel,Food,13,None,None,mild,1962
1st Floor - Back,Two Dollar,Apr,Monday,Bonus Video,Horror,19,New Player,None,good,1038
1st Floor - Back,Two Dollar,Apr,Wednesday,4 Reel,Other,8,New Player,None,crummy,1169
1st Floor - Back,Two Dollar,May,Friday,Bonus Video,Food,6,New Player,None,close,1893
1st Floor - Back,Two Dollar,Jun,Friday,4 Reel,Movies,11,VIP,None,crummy,1406
1st Floor - Back,Two Dollar,Oct,Sunday,Bonus Video,Animals,1,VIP,None,crummy,1140
1st Floor - Back,Two Dollar,Nov,Thursday,4 Reel,Magic,12,New Player,None,cold,1576
1st Floor - Back,Two Dollar,Nov,Friday,5 Reel,Entertainment,15,None,None,humid,1930
1st Floor - Back,Two Dollar,Nov,Friday,Progressive,Travel,13,Monthy Player,None,balmy,337
1st Floor - Back,Two Dollar,Dec,Thursday,Bonus Video,Entertainment,19,None,None,close,911
1st Floor - Back,Two Dollar,Dec,Sunday,Bonus Video,Holidays,9,Monthy Player,None,drizzly,1032
1st Floor - Back,Five Dollar,Jan,Monday,4 Reel,Other,7,None,None,stormy,93
